PassengerId,Survived
1,0.5546358
2,0.5217045
3,0.36268365
4,0.5217045
5,0.3873776
6,0.3873776
7,0.37599722
8,0.39046806
9,0.55839014
10,0.5152589
11,0.55839014
12,0.36268365
13,0.36268365
14,0.3026051
15,0.36268365
16,0.36268365
17,0.3724801
18,0.3767269
19,0.5546358
20,0.3873776
21,0.3767269
22,0.3767269
23,0.3767269
24,0.3873776
25,0.3724801
26,0.3724801
27,0.3873776
28,0.39046806
29,0.3767269
30,0.3767269
31,0.37599722
32,0.5152589
33,0.3767269
34,0.3767269
35,0.5152589
36,0.5546358
37,0.3873776
38,0.3767269
39,0.55839014
40,0.5217045
41,0.5217045
42,0.5546358
43,0.3767269
44,0.5017371
45,0.37599722
46,0.37599722
47,0.5152589
48,0.3767269
49,0.55839014
50,0.5152589
51,0.39046806
52,0.36268365
53,0.5546358
54,0.5217045
55,0.53981256
56,0.3873776
57,0.3873776
58,0.36268365
59,0.5521087
60,0.3026051
61,0.3767269
62,0.36268365
63,0.5546358
64,0.3026051
65,0.3873776
66,0.55839014
67,0.37599722
68,0.3873776
69,0.3724801
70,0.5316726
71,0.3767269
72,0.3724801
73,0.3873776
74,0.5152589
75,0.37599722
76,0.36268365
77,0.36268365
78,0.3873776
79,0.570464
80,0.3767269
81,0.37599722
82,0.37599722
83,0.37599722
84,0.3767269
85,0.3873776
86,0.5017371
87,0.39046806
88,0.37599722
89,0.39046806
90,0.36268365
91,0.3767269
92,0.3873776
93,0.5546358
94,0.4355915
95,0.3767269
96,0.3873776
97,0.3873776
98,0.5152589
99,0.5217045
100,0.5217045
101,0.37599722
102,0.3767269
103,0.53981256
104,0.36268365
105,0.570464
106,0.37599722
107,0.3873776
108,0.3873776
109,0.3873776
110,0.5152589
111,0.3767269
112,0.5217045
113,0.37599722
114,0.53981256
115,0.3873776
116,0.36268365
117,0.3767269
118,0.5152589
119,0.5217045
120,0.3724801
121,0.5316726
122,0.37599722
123,0.53981256
124,0.37599722
125,0.5217045
126,0.5217045
127,0.3767269
128,0.37599722
129,0.5316726
130,0.3873776
131,0.3767269
132,0.3873776
133,0.5217045
134,0.5546358
135,0.36268365
136,0.3873776
137,0.570464
138,0.5152589
139,0.37599722
140,0.3873776
141,0.5715874
142,0.37599722
143,0.5217045
144,0.37599722
145,0.3873776
146,0.5715874
147,0.3873776
148,0.3026051
149,0.55839014
150,0.3873776
151,0.37599722
152,0.5546358
153,0.37599722
154,0.5715874
155,0.3767269
156,0.5217045
157,0.3767269
158,0.36268365
159,0.3873776
160,0.3026051
161,0.5546358
162,0.3767269
163,0.36268365
164,0.3767269
165,0.39046806
166,0.570464
167,0.53981256
168,0.39046806
169,0.37599722
170,0.3767269
171,0.3767269
172,0.34019303
173,0.5316726
174,0.37599722
175,0.3873776
176,0.55839014
177,0.34019303
178,0.3767269
179,0.3873776
180,0.36268365
181,0.3724801
182,0.37599722
183,0.34019303
184,0.4355915
185,0.5316726
186,0.36268365
187,0.53981256
188,0.37599722
189,0.5316726
190,0.3873776
191,0.36268365
192,0.37599722
193,0.5546358
194,0.570464
195,0.3767269
196,0.3767269
197,0.3767269
198,0.5546358
199,0.36268365
200,0.36268365
201,0.37599722
202,0.34019303
203,0.3873776
204,0.3873776
205,0.3873776
206,0.5152589
207,0.5152589
208,0.3873776
209,0.37599722
210,0.3767269
211,0.37599722
212,0.3873776
213,0.3873776
214,0.37599722
215,0.5217045
216,0.5217045
217,0.3873776
218,0.53981256
219,0.3873776
220,0.36268365
221,0.36268365
222,0.3873776
223,0.3873776
224,0.3873776
225,0.5546358
226,0.37599722
227,0.3767269
228,0.37599722
229,0.37599722
230,0.34019303
231,0.5152589
232,0.37599722
233,0.3873776
234,0.39046806
235,0.37599722
236,0.3873776
237,0.5546358
238,0.5715874
239,0.3767269
240,0.3873776
241,0.5152589
242,0.53981256
243,0.36268365
244,0.36268365
245,0.36268365
246,0.55839014
247,0.36268365
248,0.5715874
249,0.5316726
250,0.5152589
251,0.3873776
252,0.5316726
253,0.37599722
254,0.5152589
255,0.5715874
256,0.5316726
257,0.36268365
258,0.36268365
259,0.36268365
260,0.5152589
261,0.3873776
262,0.3026051
263,0.5715874
264,0.3767269
265,0.36268365
266,0.36268365
267,0.39046806
268,0.53981256
269,0.5152589
270,0.36268365
271,0.3767269
272,0.37599722
273,0.5217045
274,0.5217045
275,0.36268365
276,0.5546358
277,0.3873776
278,0.3873776
279,0.3724801
280,0.5715874
281,0.36268365
282,0.3873776
283,0.36268365
284,0.3873776
285,0.36268365
286,0.37599722
287,0.3767269
288,0.36268365
289,0.3873776
290,0.36268365
291,0.37599722
292,0.5546358
293,0.3767269
294,0.36268365
295,0.36268365
296,0.3767269
297,0.36268365
298,0.4355915
299,0.37599722
300,0.5217045
301,0.3873776
302,0.55839014
303,0.3767269
304,0.36268365
305,0.3873776
306,0.46892008
307,0.3767269
308,0.53981256
309,0.5152589
310,0.37599722
311,0.36268365
312,0.34019303
313,0.570464
314,0.3873776
315,0.5715874
316,0.36268365
317,0.5217045
318,0.3873776
319,0.55839014
320,0.570464
321,0.36268365
322,0.37599722
323,0.3873776
324,0.55839014
325,0.39046806
326,0.3873776
327,0.37599722
328,0.37599722
329,0.5316726
330,0.5152589
331,0.55839014
332,0.37599722
333,0.5546358
334,0.55839014
335,0.5217045
336,0.3767269
337,0.5217045
338,0.37599722
339,0.36268365
340,0.3767269
341,0.5316726
342,0.3026051
343,0.36268365
344,0.36268365
345,0.3873776
346,0.36268365
347,0.3873776
348,0.5152589
